Name,SecondaryName,Category,Difficulty,FakieDifficulty,SwitchDifficulty,NollieDifficulty,SpecialTrick
Fakie Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Frontside 180 Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside 180 Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Nollie Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Nollie Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Frontside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Frontside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside 180 Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside 180 Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Frontside 180 Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Frontside 180 Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside 180 Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside 180 Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Frontside 180 Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Frontside 180 Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Tre Flip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
